1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 0.100 DT = 0.020 and VX = 0.500CFL = 0.100

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.05000   1.00000   1.00000   0.99993   0.99993   0.99947   0.99947
    2   0.15000   1.00000   1.00000   0.99953   0.99953   0.99628   0.99628
    3   0.25000   1.00000   1.00000   0.99873   0.99873   0.98992   0.98992
    4   0.35000   1.00000   1.00000   0.99753   0.99753   0.98047   0.98047
    5   0.45000   1.00000   1.00000   0.99593   0.99593   0.96800   0.96800
    6   0.55000   1.00000   1.00000   0.99391   0.99391   0.95264   0.95264
    7   0.65000   1.00000   1.00000   0.99150   0.99150   0.93453   0.93453
    8   0.75000   1.00000   1.00000   0.98867   0.98867   0.91383   0.91383
    9   0.85000   1.00000   1.00000   0.98543   0.98543   0.89074   0.89074
   10   0.95000   1.00000   1.00000   0.98177   0.98177   0.86546   0.86546
   11   1.05000   1.00000   1.00000   0.97768   0.97768   0.83821   0.83821
   12   1.15000   1.00000   1.00000   0.97317   0.97317   0.80923   0.80923
   13   1.25000   1.00000   1.00000   0.96823   0.96823   0.77875   0.77875
   14   1.35000   1.00000   1.00000   0.96284   0.96284   0.74703   0.74703
   15   1.45000   1.00000   1.00000   0.95701   0.95701   0.71431   0.71431
   16   1.55000   1.00000   1.00000   0.95072   0.95072   0.68084   0.68084
   17   1.65000   1.00000   1.00000   0.94396   0.94396   0.64687   0.64687
   18   1.75000   1.00000   1.00000   0.93673   0.93673   0.61262   0.61262
   19   1.85000   1.00000   1.00000   0.92901   0.92901   0.57834   0.57834
   20   1.95000   1.00000   1.00000   0.92079   0.92079   0.54424   0.54424
   21   2.05000   1.00000   1.00000   0.91206   0.91206   0.51051   0.51051
   22   2.15000   1.00000   1.00000   0.90281   0.90281   0.47734   0.47734
   23   2.25000   1.00000   1.00000   0.89301   0.89301   0.44489   0.44489
   24   2.35000   1.00000   1.00000   0.88264   0.88264   0.41333   0.41333
   25   2.45000   1.00000   1.00000   0.87170   0.87170   0.38279   0.38279
   26   2.55000   1.00000   1.00000   0.86015   0.86015   0.35336   0.35336
   27   2.65000   1.00000   1.00000   0.84797   0.84797   0.32516   0.32516
