1
    LCPFCT Test #1 - Constant V Convection:   step =   0 and TIME =  0.000
          with DX = 1.000 DT = 0.200 and VX = 1.000

    I     X(I)     Square    exact     Circle    exact   Gaussian    exact
    1   0.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
    2   1.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
    3   2.50000   0.00000   0.00000   0.00000   0.00000   0.00001   0.00001
    4   3.50000   0.00000   0.00000   0.00000   0.00000   0.00002   0.00002
    5   4.50000   0.00000   0.00000   0.00000   0.00000   0.00007   0.00007
    6   5.50000   0.00000   0.00000   0.00000   0.00000   0.00023   0.00023
    7   6.50000   0.00000   0.00000   0.00000   0.00000   0.00071   0.00071
    8   7.50000   0.00000   0.00000   0.00000   0.00000   0.00200   0.00200
    9   8.50000   0.00000   0.00000   0.00000   0.00000   0.00520   0.00520
   10   9.50000   0.00000   0.00000   0.00000   0.00000   0.01247   0.01247
   11  10.50000   1.00000   1.00000   0.29440   0.29440   0.02761   0.02761
   12  11.50000   1.00000   1.00000   0.52391   0.52391   0.05645   0.05645
   13  12.50000   1.00000   1.00000   0.66000   0.66000   0.10662   0.10662
   14  13.50000   1.00000   1.00000   0.75899   0.75899   0.18597   0.18597
   15  14.50000   1.00000   1.00000   0.83446   0.83446   0.29959   0.29959
   16  15.50000   1.00000   1.00000   0.89245   0.89245   0.44576   0.44576
   17  16.50000   1.00000   1.00000   0.93625   0.93625   0.61258   0.61258
   18  17.50000   1.00000   1.00000   0.96779   0.96779   0.77752   0.77752
   19  18.50000   1.00000   1.00000   0.98826   0.98826   0.91146   0.91146
   20  19.50000   1.00000   1.00000   0.99834   0.99834   0.98686   0.98686
   21  20.50000   1.00000   1.00000   0.99834   0.99834   0.98686   0.98686
   22  21.50000   1.00000   1.00000   0.98826   0.98826   0.91146   0.91146
   23  22.50000   1.00000   1.00000   0.96779   0.96779   0.77752   0.77752
   24  23.50000   1.00000   1.00000   0.93625   0.93625   0.61258   0.61258
   25  24.50000   1.00000   1.00000   0.89245   0.89245   0.44576   0.44576
   26  25.50000   1.00000   1.00000   0.83446   0.83446   0.29959   0.29959
   27  26.50000   1.00000   1.00000   0.75899   0.75899   0.18597   0.18597
   28  27.50000   1.00000   1.00000   0.66000   0.66000   0.10662   0.10662
   29  28.50000   1.00000   1.00000   0.52391   0.52391   0.05645   0.05645
   30  29.50000   1.00000   1.00000   0.29440   0.29440   0.02761   0.02761
   31  30.50000   0.00000   0.00000   0.00000   0.00000   0.01247   0.01247
   32  31.50000   0.00000   0.00000   0.00000   0.00000   0.00520   0.00520
   33  32.50000   0.00000   0.00000   0.00000   0.00000   0.00200   0.00200
   34  33.50000   0.00000   0.00000   0.00000   0.00000   0.00071   0.00071
   35  34.50000   0.00000   0.00000   0.00000   0.00000   0.00023   0.00023
   36  35.50000   0.00000   0.00000   0.00000   0.00000   0.00007   0.00007
   37  36.50000   0.00000   0.00000   0.00000   0.00000   0.00002   0.00002
   38  37.50000   0.00000   0.00000   0.00000   0.00000   0.00001   0.00001
   39  38.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   40  39.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   41  40.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   42  41.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   43  42.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   44  43.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   45  44.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
   46  45.50000   0.00000   0.00000   0.00000   0.00000   0.00000   0.00000
